Matthew, 9,2, And behold some people brought to him a paralytic lying on a bed. And when Jesus saw their faith he said to the paralytic “Take heart my son; your sins are forgiven.”
John, 3,36, Whoever believes in the Son has eternal life; whoever does not obey the Son shall not see life but the wrath of God remains on him.
1 John, 5,4,5, For everyone who has been born of God overcomes the world. And this is the victory that has overcome the world—our faith. Who is it that overcomes the world except the one who believes that Jesus is the Son of God?
